| table_schema | table_name                  | ordinal_position | column_name                                       | data_type                   | type_details | is_nullable | column_default    | constraint_type | foreign_key_table_schema | foreign_key_table_name      | foreign_key_column_name |
| ------------ | --------------------------- | ---------------- | ------------------------------------------------- | --------------------------- | ------------ | ----------- | ----------------- | --------------- | ------------------------ | --------------------------- | ----------------------- |
| organisation | employees                   | 1                | id                                                | uuid                        |              | NO          | gen_random_uuid() | PRIMARY KEY     | organisation             | employees                   | id                      |
| organisation | employees                   | 2                | organisation_id                                   | uuid                        |              | YES         | null              | FOREIGN KEY     | organisation             | identities                  | organisation_id         |
| organisation | employees                   | 3                | number_of_employees                               | integer                     |              | YES         | null              | null            | null                     | null                        | null                    |
| organisation | employees                   | 4                | number_of_employees_code                          | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| organisation | employees                   | 5                | number_of_employees_min                           | integer                     |              | YES         | null              | null            | null                     | null                        | null                    |
| organisation | employees                   | 6                | number_of_employees_max                           | integer                     |              | YES         | null              | null            | null                     | null                        | null                    |
| organisation | employees                   | 7                | created_at                                        | timestamp with time zone    |              | YES         | CURRENT_TIMESTAMP | null            | null                     | null                        | null                    |
| organisation | employees                   | 8                | updated_at                                        | timestamp with time zone    |              | YES         | CURRENT_TIMESTAMP | null            | null                     | null                        | null                    |
| organisation | identities                  | 1                | organisation_id                                   | uuid                        |              | NO          | gen_random_uuid() | PRIMARY KEY     | organisation             | identities                  | organisation_id         |
| organisation | identities                  | 2                | neuron360_company_id                              | text                        |              | YES         | null              | UNIQUE          | organisation             | identities                  | neuron360_company_id    |
| organisation | identities                  | 3                | name                                              | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| organisation | identities                  | 4                | domain                                            | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| organisation | identities                  | 5                | logo_url                                          | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| organisation | identities                  | 6                | industry                                          | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| organisation | identities                  | 7                | created_at                                        | timestamp with time zone    |              | YES         | CURRENT_TIMESTAMP | null            | null                     | null                        | null                    |
| organisation | identities                  | 8                | updated_at                                        | timestamp with time zone    |              | YES         | CURRENT_TIMESTAMP | null            | null                     | null                        | null                    |
| organisation | industries                  | 1                | id                                                | uuid                        |              | NO          | gen_random_uuid() | PRIMARY KEY     | organisation             | industries                  | id                      |
| organisation | industries                  | 2                | organisation_id                                   | uuid                        |              | YES         | null              | FOREIGN KEY     | organisation             | identities                  | organisation_id         |
| organisation | industries                  | 3                | industry_id                                       | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| organisation | industries                  | 4                | code2                                             | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| organisation | industries                  | 5                | name2                                             | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| organisation | industries                  | 6                | code3                                             | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| organisation | industries                  | 7                | name3                                             | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| organisation | industries                  | 8                | code4                                             | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
